,date,orders
0,2020-12-13,3
1,2020-12-14,4840
2,2020-12-15,5071
3,2020-12-16,4410
4,2020-12-17,3683
5,2020-12-18,3896
6,2020-12-19,7960
7,2020-12-20,6827
8,2020-12-21,3987
9,2020-12-22,3689
10,2020-12-23,5123
11,2020-12-24,4177
12,2020-12-25,5160
13,2020-12-26,6904
14,2020-12-27,9126
15,2020-12-28,3774
16,2020-12-29,5012
17,2020-12-30,4192
18,2020-12-31,5336
19,2021-01-01,4203
20,2021-01-02,8748
21,2021-01-03,8497
22,2021-01-04,4781
23,2021-01-05,4895
24,2021-01-06,5240
25,2021-01-07,4995
26,2021-01-08,4824
27,2021-01-09,7595
28,2021-01-10,7499
29,2021-01-11,3585
30,2021-01-12,4633
31,2021-01-13,4474
32,2021-01-14,3699
33,2021-01-15,5457
34,2021-01-16,8226
35,2021-01-17,8894
36,2021-01-18,5546
37,2021-01-19,5637
38,2021-01-20,5942
39,2021-01-21,4556
40,2021-01-22,4736
41,2021-01-23,8195
42,2021-01-24,7711
43,2021-01-25,3927
44,2021-01-26,4892
45,2021-01-27,5583
46,2021-01-28,4462
47,2021-01-29,5060
48,2021-01-30,9719
49,2021-01-31,9010
50,2021-02-01,5173
51,2021-02-02,5237
52,2021-02-03,3941
53,2021-02-04,5115
54,2021-02-05,5156
55,2021-02-06,7991
